Protest,g_lat,g_lon
LFL,35.2072185,-101.8338246
LFL,35.6009498,-82.5540161
LFL,33.7490987,-84.3901849
LFL,44.310583,-69.779663
LFL,39.2908816,-76.610759
LFL,44.3864565,-68.2118571
LFL,41.504879,-73.9696822
LFL,32.4315813,-80.6698286
LFL,30.0860459,-94.1018461
LFL,48.7544012,-122.4788361
LFL,43.0125713,-73.1473048
LFL,42.096968,-75.914341
LFL,37.2296566,-80.4136767
LFL,41.2795414,-72.8150989
LFL,33.9170444,-117.8888557
LFL,41.7601093,-70.082796
LFL,42.0523718,-124.2840707
LFL,25.9140256,-97.4890856
LFL,41.7673105,-75.0562785
LFL,48.1625483,-122.4950268
LFL,45.5911103,-122.4122248
LFL,39.1134458,-75.5418687
LFL,39.2891836,-77.859581
LFL,35.0456297,-85.3096801
LFL,39.9181686,-75.071284
LFL,38.8339578,-104.8253485
LFL,39.9622601,-83.0007065
LFL,35.0886963,-92.4421011
LFL,43.3678937,-124.2174647
LFL,43.198057,-70.8739158
LFL,41.7938195,-88.010376
LFL,42.5006217,-90.6647967
LFL,46.7729322,-92.1251218
LFL,42.479502,-79.333932
LFL,40.6916081,-75.2099866
LFL,48.696771,-122.9054625
LFL,47.9032372,-91.8670873
LFL,33.0283854,-97.0867203
LFL,45.5197452,-123.1114405
LFL,34.6809319,-98.5708847
LFL,37.4452288,-76.5594479
LFL,40.924271,-98.338685
LFL,39.063956,-108.5507317
LFL,40.2663107,-76.8861122
LFL,40.430774,-78.3900826
LFL,35.8923253,-82.8290318
LFL,29.7589382,-95.3676974
LFL,44.4158398,-118.9534319
LFL,42.291707,-85.5872286
LFL,41.1200325,-87.8611531
LFL,41.25877,-73.6853852
LFL,42.8694731,-85.6447492
LFL,38.5800713,-90.4069177
LFL,33.5426975,-117.7853665
LFL,38.0464066,-84.4970393
LFL,41.7313447,-111.8348631
LFL,40.5583739,-85.6591442
LFL,37.3029568,-120.4843269
LFL,45.8110262,-89.9205951
LFL,48.23251,-101.296273
LFL,42.0503062,-89.4312201
LFL,42.7653662,-71.467566
LFL,42.2836393,-71.346996
LFL,42.3370414,-71.2092214
LFL,44.0536805,-71.1284041
LFL,26.8237944,-80.0559266
LFL,41.5242649,-72.0759105
LFL,30.6201984,-92.7626462
LFL,41.7898313,-69.9897397
LFL,36.6467816,-92.4575198
LFL,37.4443293,-122.1598465
LFL,48.1185325,-122.7679629
LFL,46.681479,-68.016357
LFL,42.058436,-70.1786375
LFL,44.081176,-103.228006
LFL,40.3470543,-74.0643065
LFL,47.6694141,-122.1238767
LFL,37.5385087,-77.43428
LFL,44.4053306,-72.9929017
LFL,43.157285,-77.615214
LFL,44.104352,-69.108124
LFL,38.5815719,-121.4943996
LFL,35.6709727,-80.4742261
LFL,37.7790262,-122.4199061
LFL,43.439249,-70.7742246
LFL,46.490586,-84.359269
LFL,47.6038321,-122.3300624
LFL,32.5221828,-93.7651944
LFL,27.7703796,-82.6695085
LFL,33.0206179,-80.1747537
LFL,47.2495798,-122.4398746
LFL,41.7741691,-77.254256
LFL,37.7396513,-121.4252227
LFL,44.0488807,-123.3515141
LFL,42.7022527,-83.402718
LFL,33.8628959,-83.4087709
LFL,36.9092773,-121.7529071
LFL,42.1941294,-97.169623
LFL,47.5709315,-122.3865166
LFL,41.1414855,-73.3578955
LFL,42.3147529,-88.4474302
LFL,39.962398,-76.727392
LFL,20.7983626,-156.3319253
