CityTown,Location,StateTerritory,Country,Date,EstimateLow,EstimateHigh,Estimate,Actor,Source1,Source2,Source3,g_lat,g_lon,g_lat_jitter,g_lon_jitter,linkstatus
Aberdeen,Anderson Park,SD,US,6/30/2018,70,70,70,Families Belong Together,https://act.moveon.org/event/families-belong-together/20643/signup/?source=&s=,http://dakotafreepress.com/2018/06/30/photos-families-belong-together-rally-in-aberdeen/,,45.4646985,-98.4864829,45.4599815,-98.4847339,Link
Abilene,Everman Park Downtown,TX,US,6/30/2018,156,156,156,Families Belong Together,https://act.moveon.org/event/families-belong-together/19993/signup/?source=&s=,https://www.facebook.com/events/2056884484569116/,,32.4487364,-99.7331439,32.4441934,-99.7380019,Link
Adrian,Old Lenawee County Courthouse,MI,US,6/30/2018,100,100,100,Families Belong Together,https://act.moveon.org/event/families-belong-together/20389/signup/?source=&s=,http://www.lenconnect.com/news/20180701/lenawee-county-protestors-decry-immigration-policy,,41.8433859,-84.0167423,41.8438289,-84.0173063,Link
Akron,Main and Mill,OH,US,6/30/2018,200,200,200,Families Belong Together,https://www.news5cleveland.com/news/local-news/akron-canton-news/200-in-akron-protest-immigrant-children-being-separated-from-their-parents-when-seeking-asylum,,,41.0814447,-81.5190053,41.0858797,-81.5174013,Link
Alameda,Intersection of Park St. & Santa Clara Ave.,CA,US,6/30/2018,300,300,300,Families Belong Together,https://act.moveon.org/event/families-belong-together/20559/signup/?source=&s=,https://twitter.com/ReginaWalton/status/1013242759447134208,https://twitter.com/SteveBitker/status/1013149758037168128,37.7652065,-122.2416355,37.7692505,-122.2379215,Link
Alamosa,Cole Park,CO,US,6/30/2018,,,Unknown,Families Belong Together,https://act.moveon.org/event/families-belong-together/20162/signup/?source=&s=,,,37.4694491,-105.8700214,37.4666891,-105.8691204,Link
Alamogordo,White Sands Boulevard,NM,US,6/30/2018,75,75,75,Families Belong Together,https://act.moveon.org/event/families-belong-together_attend1/search/#event-map,https://www.alamogordonews.com/story/news/local/community/2018/07/03/alamogordos-we-trust-women-rally-asks-responsible-immigration-reform/753451002/,,32.8995325,-105.960265,32.8996605,-105.957382,Link
Albany,West Capitol Park,NY,US,6/30/2018,100,100,100,Families Belong Together,https://act.moveon.org/event/families-belong-together/20369/signup/?source=&s=,https://www.timesunion.com/news/article/Hundreds-protest-Trump-s-immigration-policies-in-13040036.php,,42.6525793,-73.7562317,42.6550683,-73.7612177,Link
Albany,Linn County Courthouse,OR,US,6/30/2018,200,200,200,Families Belong Together,https://act.moveon.org/event/families-belong-together/20097/signup/?source=&s=,https://democratherald.com/news/local/hundreds-turn-out-at-mid-valley-immigration-rallies/article_3976d03c-c60b-5a0e-855a-272ba7077378.html,,44.6365107,-123.1059282,44.6323347,-123.1061102,Link
Albert Lea,Freeborn County Detention Center,MN,US,6/30/2018,100,100,100,Families Belong Together,https://act.moveon.org/event/families-belong-together/19997/signup/?source=&s=,https://twitter.com/ILCM_MN/status/1013102342147919874,https://www.kaaltv.com/news/ldquofamilies-belong-togetherrdquo-rallies-in-albert-lea-and-rochester-/4970505/,43.6478006,-93.3686555,43.6526966,-93.3671275,Link
