CityTown,Location,StateTerritory,Country,Date,EstimateText,EstimateLow,BestGuess,EstimateHigh,AdjustedLow,AdjustedHigh,Actor,Claim,Pro(2)/Anti(1),EventType,ReportedArrests,ReportedParticipantInjuries,ReportedPoliceInjuries,ReportedPropertyDamage,TownsCities,Events,Source1,Source2,Source3,Misc.,address,g_ad,g_lat,g_lon
Aberdeen,Anderson Park,SD,US,6/30/2018,around 70,70,,70,,,Families Belong Together,against jailing and separating immigrant children from their families,1,protest,0,0,0,0,1,1,https://act.moveon.org/event/families-belong-together/20643/signup/?source=&s=,http://dakotafreepress.com/2018/06/30/photos-families-belong-together-rally-in-aberdeen/,,,"Aberdeen , SD, US","Aberdeen, SD 57401, USA",45.4646985,-98.4864829
Abilene,Everman Park Downtown,TX,US,6/30/2018,FB: 156,156,,156,,,Families Belong Together,against jailing and separating immigrant children from their families,1,protest,,,,,1,1,https://act.moveon.org/event/families-belong-together/19993/signup/?source=&s=,https://www.facebook.com/events/2056884484569116/,,,"Abilene , TX, US","Abilene, TX, USA",32.4487364,-99.7331439
Adrian,Old Lenawee County Courthouse,MI,US,6/30/2018,nearly 100,100,,100,,,Families Belong Together,against jailing and separating immigrant children from their families,1,protest,0,0,0,0,1,1,https://act.moveon.org/event/families-belong-together/20389/signup/?source=&s=,http://www.lenconnect.com/news/20180701/lenawee-county-protestors-decry-immigration-policy,,,"Adrian , MI, US","Adrian, MI, MI, USA",41.8433859,-84.0167423
Akron,Main and Mill,OH,US,6/30/2018,about 200,200,,200,,,Families Belong Together,against jailing and separating immigrant children from their families,1,protest,0,0,0,0,1,1,https://www.news5cleveland.com/news/local-news/akron-canton-news/200-in-akron-protest-immigrant-children-being-separated-from-their-parents-when-seeking-asylum,,,,"Akron , OH, US","Akron, OH, USA",41.0814447,-81.5190053
Alameda,Intersection of Park St. & Santa Clara Ave.,CA,US,6/30/2018,about 300,300,,300,,,Families Belong Together,against jailing and separating immigrant children from their families,1,protest,0,0,0,0,1,1,https://act.moveon.org/event/families-belong-together/20559/signup/?source=&s=,https://twitter.com/ReginaWalton/status/1013242759447134208,https://twitter.com/SteveBitker/status/1013149758037168128,,"Alameda , CA, US","Alameda, CA, USA",37.7652065,-122.2416355
Alamosa,Cole Park,CO,US,6/30/2018,,,,,,,Families Belong Together,against jailing and separating immigrant children from their families,1,protest,,,,,1,1,https://act.moveon.org/event/families-belong-together/20162/signup/?source=&s=,,,,"Alamosa , CO, US","Alamosa, CO 81101, USA",37.4694491,-105.8700214
Alamogordo,White Sands Boulevard,NM,US,6/30/2018,about 75,75,,75,,,Families Belong Together,against jailing and separating immigrant children from their families,1,protest,0,0,0,0,1,1,https://act.moveon.org/event/families-belong-together_attend1/search/#event-map,https://www.alamogordonews.com/story/news/local/community/2018/07/03/alamogordos-we-trust-women-rally-asks-responsible-immigration-reform/753451002/,,,"Alamogordo , NM, US","Alamogordo, NM 88310, USA",32.8995325,-105.960265
Albany,West Capitol Park,NY,US,6/30/2018,over 100,100,,100,,,Families Belong Together,against jailing and separating immigrant children from their families,1,protest,0,0,0,0,1,1,https://act.moveon.org/event/families-belong-together/20369/signup/?source=&s=,https://www.timesunion.com/news/article/Hundreds-protest-Trump-s-immigration-policies-in-13040036.php,,,"Albany , NY, US","Albany, NY, USA",42.6525793,-73.7562317
Albany,Linn County Courthouse,OR,US,6/30/2018,hundreds,200,,200,,,Families Belong Together,against jailing and separating immigrant children from their families,1,protest,0,0,0,0,1,1,https://act.moveon.org/event/families-belong-together/20097/signup/?source=&s=,https://democratherald.com/news/local/hundreds-turn-out-at-mid-valley-immigration-rallies/article_3976d03c-c60b-5a0e-855a-272ba7077378.html,,,"Albany , OR, US","Albany, OR, USA",44.6365107,-123.1059282
Albert Lea,Freeborn County Detention Center,MN,US,6/30/2018,about 100,100,,100,,,Families Belong Together,against jailing and separating immigrant children from their families,1,protest,0,0,0,0,1,1,https://act.moveon.org/event/families-belong-together/19997/signup/?source=&s=,https://twitter.com/ILCM_MN/status/1013102342147919874,https://www.kaaltv.com/news/ldquofamilies-belong-togetherrdquo-rallies-in-albert-lea-and-rochester-/4970505/,,"Albert Lea , MN, US","Albert Lea, MN 56007, USA",43.6478006,-93.3686555
