City/Town,Location,StateTerritory,Country,Date,EstimateLow,EstimateHigh,,Actor,Claim,pro_anti_flag,EventType,Source1,Source2,Source3,Misc.,Latitude,Longitude,g_lat_jitter,g_lon_jitter
Anchorage,Clark Middle School,AK,US, 4/20/2018,,,Unknown,students,support gun reform and school safety,Pro-Gun Reform,walkout,,,,,61.2180556,-149.9002778,61.2173796,-149.9051088
Anchorage,South Anchorage High School,AK,US, 4/20/2018,200,200,200,students,Pro-gun control,Pro-Gun Reform,walkout,http://www.yourerie.com/news/local-news/over-400-students-at-fairview-hs-hold-rally-speaking-of-kindness-mental-health-and-activism/1131677931,,,,61.2180556,-149.9002778,61.2217456,-149.9002468
Anchorage,AJ Diamond High School,AK,US, 4/20/2018,,,Unknown,students,support gun reform and school safety,Pro-Gun Reform,walkout,,,,,61.2180556,-149.9002778,61.2154186,-149.9011108
Anchorage,Bartlett High School,AK,US, 4/20/2018,400,400,400,students,Pro-gun control,Pro-Gun Reform,walkout,http://www.yourerie.com/news/local-news/over-400-students-at-fairview-hs-hold-rally-speaking-of-kindness-mental-health-and-activism/1131677931,,,,61.2180556,-149.9002778,61.2154946,-149.9009548
Anchorage,East High School,AK,US, 4/20/2018,200,200,200,students,Pro-gun control,Pro-Gun Reform,walkout,https://www.adn.com/alaska-news/education/2018/04/20/anchorage-high-school-students-are-leaving-their-classes-friday-as-part-of-nationwide-protest-over-gun-violence/,http://www.ktva.com/story/38005848/anchorage-high-schools-join-national-school-walkout,,,61.2180556,-149.9002778,61.2211966,-149.8999438
Anchorage,West High School,AK,US, 4/20/2018,200,200,200,students,Pro-gun control,Pro-Gun Reform,walkout,https://www.adn.com/alaska-news/education/2018/04/20/anchorage-high-school-students-are-leaving-their-classes-friday-as-part-of-nationwide-protest-over-gun-violence/,,,,61.2180556,-149.9002778,61.2165106,-149.9035528
Anchorage,Eagle River High School,AK,US, 4/20/2018,45,45,45,students,Pro-gun control,Pro-Gun Reform,walkout,https://www.adn.com/alaska-news/education/2018/04/20/anchorage-high-school-students-are-leaving-their-classes-friday-as-part-of-nationwide-protest-over-gun-violence/,,,,61.2180556,-149.9002778,61.2147536,-149.9028118
Anchorage,Robert Service High School,AK,US, 4/20/2018,,,Unknown,students,support gun reform and school safety,Pro-Gun Reform,walkout,,,,,61.2180556,-149.9002778,61.2182356,-149.9051168
Anchorage,Goldenview Middle School,AK,US, 4/20/2018,,,Unknown,students,support gun reform and school safety,Pro-Gun Reform,walkout,,,,,61.2180556,-149.9002778,61.2132466,-149.8960428
Fairbanks,Hutchison High School,AK,US, 4/20/2018,,,Unknown,students,support gun reform and school safety,Pro-Gun Reform,walkout,,,,,64.8377778,-147.7163888,64.8350648,-147.7147728
Fairbanks,Lathrop HS,AK,US, 4/20/2018,,,Unknown,students,support gun reform and school safety,Pro-Gun Reform,walkout,https://twitter.com/lanis_81/status/987491860791812096,,,,64.8377778,-147.7163888,64.8375538,-147.7180948
St Davids,Walton Patio at Eastern University,AK,US, 4/20/2018,,,Unknown,students,support gun reform and school safety,Pro-Gun Reform,walkout,,,,,61.6044831,-149.4138988,61.6051571,-149.4109628
Auburn,Auburn High School,AL,US, 4/20/2018,,,Unknown,students,support gun reform and school safety,Pro-Gun Reform,walkout,,,,,32.6098566,-85.4807825,32.6062676,-85.4830065
Birmingham,Railroad Park,AL,US, 4/20/2018,,,Unknown,students,support gun reform and school safety,Pro-Gun Reform,walkout,,,,,33.5185892,-86.8103567,33.5227132,-86.8112077
Carbon Hill,Carbon Hill HS,AL,US, 4/20/2018,,,Unknown,students,support gun reform and school safety,Pro-Gun Reform,walkout,,,,,33.8917742,-87.5261236,33.8889502,-87.5249506
Daphne,Daphne High School,AL,US, 4/20/2018,,,Unknown,students,support gun reform and school safety,Pro-Gun Reform,walkout,,,,,30.6035255,-87.9036047,30.6036495,-87.9056667
Demopolis,Demopolis High School,AL,US, 4/20/2018,,,Unknown,students,support gun reform and school safety,Pro-Gun Reform,walkout,,,,,32.5176361,-87.836402,32.5163201,-87.836051
Gardendale ,Gardendale High School,AL,US, 4/20/2018,,,Unknown,students,support gun reform and school safety,Pro-Gun Reform,walkout,,,,,33.6601033,-86.8127702,33.6611733,-86.8098302
Hoover,Hoover HS,AL,US, 4/20/2018,,,Unknown,students,support gun reform and school safety,Pro-Gun Reform,walkout,,,,,33.4053867,-86.8113781,33.4018367,-86.8130381
Huntsville,New Century Technology HS,AL,US, 4/20/2018,,,Unknown,students,support gun reform and school safety,Pro-Gun Reform,walkout,http://whnt.com/2018/04/20/north-alabama-students-participate-in-national-student-walkout/,,,,34.7303688,-86.5861037,34.7326748,-86.5903237
Huntsville,Virgil I. Grissom High School,AL,US, 4/20/2018,,,Unknown,students,support gun reform and school safety,Pro-Gun Reform,walkout,,,,,34.7303688,-86.5861037,34.7256998,-86.5825197
Huntsville,Lee HS,AL,US, 4/20/2018,,,Unknown,students,support gun reform and school safety,Pro-Gun Reform,walkout,,,,,34.7303688,-86.5861037,34.7320448,-86.5838347
Huntsville,Huntsville High School,AL,US, 4/20/2018,,,Unknown,students,support gun reform and school safety,Pro-Gun Reform,walkout,,,,,34.7303688,-86.5861037,34.7292528,-86.5873617
