City,Location,State,EstimateLow,EstimateHigh,Estimate Full,Actor,Event Type,Source1,g_lat,g_lon,g_lat_jitter,g_lon_jitter,linkstatus
Amarillo,601 S Buchanan St,TX,10,10,10,general protestors,vigil,https://www.facebook.com/events/326292748246283/,35.2072185,-101.8338246,35.2081125,-101.8464746,Link
Asheville,Vance Monument,NC,500,500,500,general protestors,vigil,https://www.facebook.com/events/2416967011716739/,35.6009498,-82.5540161,35.5975068,-82.5904761,Link
Atlanta,Plaza Fiesta,GA,627,627,627,New Sanctuary Movement of Atlanta,General,https://www.facebook.com/events/426317611554788/,33.7490987,-84.3901849,33.7530877,-84.3521049,Link
Augusta,Maine State House,ME,175,175,175,Capitol Area Indivisible,General,https://www.facebook.com/events/2939753629498676/,44.310583,-69.779663,44.312761,-69.746233,Link
Baltimore,St. Bartholomew's Episcopal Church,MD,7,7,7,St. Bartholomew's Episcopal Church,prayer vigil,https://www.facebook.com/events/649071982239955/,39.2908816,-76.610759,39.2930516,-76.656929,Link
Bar Harbor,Agamont Park,ME,30,30,30,Indivisible MDI ,General,https://www.facebook.com/events/2248929805191997/,44.3864565,-68.2118571,44.3845005,-68.1832671,Link
Beacon,Pohill Park,NY,69,69,69,Making America Strong Again,vigil,https://www.facebook.com/events/635744456936657/,41.504879,-73.9696822,41.508109,-73.9329022,Link
Beaufort,100 Sea Island Parkway,SC,34,34,34,general protestors,vigil,https://www.facebook.com/events/2367222790228110/,32.4315813,-80.6698286,32.4287393,-80.6869586,Link
Beaumont,City Hall,TX,49,49,49,general protestors,vigil,https://www.facebook.com/events/369097607132951/,30.0860459,-94.1018461,30.0879189,-94.1317361,Link
Bellingham,City Hall,WA,102,102,102,general protestors,vigil,https://www.facebook.com/events/445461776006816/,48.7544012,-122.4788361,48.7506652,-122.4342461,Link
Bennington,Four Corners,VT,45,45,45,general protestors,vigil,https://www.facebook.com/events/2275076246090146/,43.0125713,-73.1473048,43.0143523,-73.1773848,Link
Binghamton,Temple Concord,NY,75,75,75,Temple Concord,vigil,https://www.facebook.com/events/416775802270170/,42.096968,-75.914341,42.096383,-75.942361,Link
Blacksburg,downtown,VA,100,250,100 to 250,Love Thy Neighbor NRV,vigil,https://www.facebook.com/events/450260312434662/,37.2296566,-80.4136767,37.2334096,-80.4614467,Link
Branford,Trinity Episcopal Church of Branford,CT,71,71,71,Trinity Episcopal Church of Branford,General,https://www.facebook.com/events/461238324729587/,41.2795414,-72.8150989,41.2814324,-72.7677189,Link
Brea,State College Blvd.,CA,80,80,80,Indivisible CA39,General,https://www.facebook.com/events/2396022883753661/,33.9170444,-117.8888557,33.9139454,-117.9055257,Link
Brewster,First Parish Brewster Unitarian Universalist,MA,32,32,32,Lower Cape Indivisible; First Parish Brewster Unitarian Universalist; Indivisible Massachusetts,General,https://www.facebook.com/events/443813523122058/,41.7601093,-70.082796,41.7635313,-70.107576,Link
Brookings,Bankus Fountain,OR,6,6,6,general protestors,vigil,https://www.facebook.com/events/559846091215266,42.0523718,-124.2840707,42.0546968,-124.3040907,Link
Brownsville,Southwest Key- Casa Padre,TX,55,55,55,March On Texas- Awesome Women in Action Chapter; Cameron County Texas Democratic Women,vigil,https://www.facebook.com/events/2382312381980312/,25.9140256,-97.4890856,25.9094906,-97.4474856,Link
Callicoon,Bridge St,NY,,,,general protestors,vigil,https://www.facebook.com/events/339866300247516/,41.7673105,-75.0562785,41.7704575,-75.0450585,Link
Camano Island,Terry's Corner - Camano Island SR 532,WA,50,50,50,Camano Island Democrats,vigil,https://www.facebook.com/events/2621874901454951/?active_tab=about,48.1625483,-122.4950268,48.1666443,-122.5328468,Link
Camas,Camas Friends Church,WA,49,49,49,Camas Friends Church,vigil,https://www.facebook.com/events/2273400556214016/,45.5911103,-122.4122248,45.5903363,-122.4163948,Link
Camden,122 E. Camden-Wyoming Avenue,DE,,,,Camden Friends Meeting,vigil,https://www.facebook.com/events/644266089375979/,39.1134458,-75.5418687,39.1128378,-75.5701987,Link
Charles Town,Jefferson County Courthouse,WV,29,29,29,general protestors,vigil,https://www.facebook.com/events/433043307250924/,39.2891836,-77.859581,39.2862876,-77.901471,Link
Chattanooga,Coolidge Park,TN,168,168,168,Mercy Junction Justice and Peace Center,vigil,https://www.facebook.com/events/898164460549493,35.0456297,-85.3096801,35.0448077,-85.2927101,Link
Collingswood,Knight Park,NJ,300,350,300 to 350,Cooper River Indivisible; South Jersey Women for Progressive Change; Collingswood Progressive Democrats,vigil,https://www.facebook.com/events/429318027665666/,39.9181686,-75.071284,39.9178386,-75.066054,Link
Colorado Springs,Sheriff's Office,CO,200,200,200,general protestors,General,https://www.facebook.com/events/345950006090830/,38.8339578,-104.8253485,38.8366388,-104.8057685,Link
Columbus,state house,OH,200,200,200,Ohio District 15 Indivisible,vigil,https://www.facebook.com/events/2122342514555816/,39.9622601,-83.0007065,39.9666011,-83.0439665,Link
Conway,Simon Park,AR,140,170,140 to 170,general protestors,General,https://www.facebook.com/events/2431666983562530/,35.0886963,-92.4421011,35.0872653,-92.4427611,Link
Coos Bay,boardwalk,OR,24,24,24,general protestors,vigil,https://www.facebook.com/events/410494536217138/,43.3678937,-124.2174647,43.3660997,-124.1873247,Link
Dover,City Hall,NH,60,60,60,general protestors,vigil,https://www.facebook.com/events/465516297601693/,43.198057,-70.8739158,43.199954,-70.8248758,Link
Downers Grove,Fishel Park,IL,57,57,57,general protestors,General,https://www.facebook.com/events/1467146836761375/,41.7938195,-88.010376,41.7983965,-88.051946,Link
Dubuque,Washington Park,IA,200,200,200,Indivisible Dubuque,General,https://www.facebook.com/events/458603288206338,42.5006217,-90.6647967,42.5048837,-90.6362367,Link
Duluth,Peace United Church of Christ,MN,59,59,59,United Church of Christ,vigil,https://www.facebook.com/events/936119920053193/,46.7729322,-92.1251218,46.7689172,-92.0963818,Link
Dunkirk,Memorial Park,NY,32,32,32,general protestors,vigil,https://www.facebook.com/events/578160612711179/,42.479502,-79.333932,42.474875,-79.311082,Link
Easton,Riverside Park,PA,,,,"Lehigh Conference of Churches; the Lights of Liberty Coalition; Lehigh Valley for All; College Hill Presbyterian,",rally,https://www.wfmz.com/news/lehigh-valley/lights-for-liberty-rally-held-in-easton/1094770357,40.6916081,-75.2099866,40.6929651,-75.2381366,Link
Eastsound,village green,WA,59,59,59,Orcas PACT,vigil,https://www.facebook.com/events/446012509568746/,48.696771,-122.9054625,48.700385,-122.9231225,Link
Ely,Whiteside Park,MN,100,100,100,general protestors,General,https://www.facebook.com/events/340757966835720/,47.9032372,-91.8670873,47.8985202,-91.8471273,Link
Flower Mound,Creekwood Christian Church Parking Lot,TX,250,250,250,Texas Family Project,vigil,https://www.facebook.com/events/356104948396909/,33.0283854,-97.0867203,33.0317334,-97.0589703,Link
Forest Grove,home of event organizer,OR,1,1,1,general protestors,vigil,https://www.facebook.com/events/2417326635165612/?,45.5197452,-123.1114405,45.5150552,-123.0776205,Link
Fort Sill,Shepler Park,OK,166,166,166,general protestors,vigil,https://www.facebook.com/events/1684473545029739/,34.6809319,-98.5708847,34.6812189,-98.6117547,Link
Gloucester,Courthouse,VA,30,30,30,general protestors,vigil,https://www.facebook.com/events/439307226665308,37.4452288,-76.5594479,37.4442258,-76.5761479,Link
Grand Island,Hall County Department of Corrections,NE,60,60,60,general protestors,vigil,https://www.facebook.com/events/422805428306108/,40.924271,-98.338685,40.928274,-98.350595,Link
Grand Junction,steps of the Old County Courthouse,CO,111,111,111,Western Colorado Days of Action; Colorado Immigrant Rights Coalition; Hispanic Affairs Project; Western Colorado Alliance,General,https://www.facebook.com/events/856943874668743/,39.063956,-108.5507317,39.068178,-108.5891717,Link
Harrisburg,capitol,PA,150,150,150,general protestors,rally,https://www.facebook.com/events/696622194124815/,40.2663107,-76.8861122,40.2656647,-76.9099422,Link
Hollidaysburg,Blair County Courthouse,PA,200,200,200,general protestors,vigil,https://www.facebook.com/events/2063438817284473/,40.430774,-78.3900826,40.427401,-78.4093526,Link
Hot Springs,Wild Goose Festival,NC,16,16,16,BeLoved Asheville,vigil,https://www.facebook.com/events/416234215646452/,35.8923253,-82.8290318,35.8927813,-82.8459918,Link
