protest,FIPS,n,FIPS2
GRP,4015,1,04015
LFL,4015,1,04015
FBT,4015,1,04015
GRP,4015,1,04015
GRP,4015,1,04015
LFL,38017,1,38017
GRP,38017,1,38017
FBT,38017,1,38017
GRP,38017,1,38017
GRP,46081,1,46081
FBT,36095,1,36095
GRP,36095,1,36095
GRP,18093,1,18093
GRP,26087,1,26087
GRP,26087,1,26087
GRP,39033,1,39033
GRP,46099,1,46099
GRP,46099,1,46099
LFL,46099,1,46099
GRP,46099,1,46099
FBT,46099,1,46099
GRP,48471,1,48471
GRP,24043,1,24043
GRP,24043,1,24043
FBT,6069,1,06069
GRP,19013,1,19013
FBT,19013,1,19013
GRP,19013,1,19013
GRP,19013,1,19013
GRP,19013,1,19013
GRP,19013,1,19013
GRP,19013,1,19013
GRP,19013,1,19013
GRP,19013,1,19013
GRP,48451,1,48451
GRP,48497,1,48497
GRP,4023,1,04023
GRP,4023,1,04023
FBT,4023,1,04023
GRP,12091,1,12091
GRP,23003,1,23003
FBT,23003,1,23003
LFL,23003,1,23003
FBT,24001,1,24001
GRP,24001,1,24001
GRP,49043,1,49043
GRP,36099,1,36099
GRP,31035,1,31035
FBT,48441,1,48441
GRP,48441,1,48441
GRP,48441,1,48441
LFL,55113,1,55113
GRP,26073,1,26073
GRP,28131,1,28131
GRP,19181,1,19181
GRP,19181,1,19181
LFL,40031,1,40031
GRP,40031,1,40031
LFL,6089,1,06089
FBT,6089,1,06089
GRP,6089,1,06089
GRP,26101,1,26101
FBT,26101,1,26101
LFL,26101,1,26101
GRP,53053,1,53053
GRP,53053,1,53053
GRP,53053,1,53053
GRP,53053,1,53053
LFL,53053,1,53053
GRP,53053,1,53053
FBT,53053,1,53053
GRP,53053,1,53053
GRP,53053,1,53053
LFL,53053,1,53053
GRP,53053,1,53053
GRP,53053,1,53053
GRP,53053,1,53053
LFL,53053,1,53053
FBT,53053,1,53053
GRP,53053,1,53053
GRP,53053,1,53053
GRP,13077,1,13077
FBT,13059,1,13059
GRP,13059,1,13059
LFL,13059,1,13059
GRP,13059,1,13059
GRP,13059,1,13059
GRP,13059,1,13059
GRP,18081,1,18081
GRP,18081,1,18081
GRP,27059,1,27059
GRP,39103,1,39103
GRP,39103,1,39103
GRP,39103,1,39103
FBT,48375,1,48375
GRP,48375,1,48375
LFL,48375,1,48375
GRP,4005,1,04005
GRP,4005,1,04005
LFL,4005,1,04005
LFL,4005,1,04005
GRP,4005,1,04005
FBT,4005,1,04005
GRP,4005,1,04005
GRP,4005,1,04005
GRP,4005,1,04005
GRP,4005,1,04005
FBT,23029,1,23029
GRP,23029,1,23029
GRP,13015,1,13015
GRP,13015,1,13015
FBT,19127,1,19127
GRP,39063,1,39063
GRP,39063,1,39063
GRP,21209,1,21209
GRP,21209,1,21209
GRP,37157,1,37157
LFL,37157,1,37157
GRP,37157,1,37157
GRP,37157,1,37157
GRP,37157,1,37157
FBT,56025,1,56025
GRP,48407,1,48407
GRP,13087,1,13087
GRP,22001,1,22001
GRP,27019,1,27019
GRP,27067,1,27067
LFL,55071,1,55071
GRP,26035,1,26035
GRP,29225,1,29225
GRP,48131,1,48131
GRP,39083,1,39083
GRP,19055,1,19055
FBT,17201,1,17201
GRP,17201,1,17201
LFL,17201,1,17201
GRP,17201,1,17201
GRP,17201,1,17201
GRP,17201,1,17201
GRP,17201,1,17201
LFL,23031,1,23031
GRP,23031,1,23031
FBT,42007,1,42007
LFL,42007,1,42007
GRP,42007,1,42007
GRP,42007,1,42007
GRP,42007,1,42007
GRP,19187,1,19187
LFL,19187,1,19187
FBT,20057,1,20057
GRP,45045,1,45045
GRP,45045,1,45045
LFL,45045,1,45045
GRP,45045,1,45045
GRP,45045,1,45045
GRP,45045,1,45045
GRP,45045,1,45045
GRP,45045,1,45045
GRP,45045,1,45045
FBT,45045,1,45045
GRP,45045,1,45045
GRP,45045,1,45045
GRP,39039,1,39039
GRP,39039,1,39039
GRP,19015,1,19015
GRP,26037,1,26037
GRP,26037,1,26037
LFL,17037,1,17037
FBT,17037,1,17037
FBT,6019,1,06019
GRP,6019,1,06019
LFL,6019,1,06019
GRP,6019,1,06019
GRP,6019,1,06019
GRP,6019,1,06019
GRP,6019,1,06019
GRP,6019,1,06019
GRP,6019,1,06019
GRP,19175,1,19175
FBT,47023,1,47023
GRP,47023,1,47023
FBT,18177,1,18177
GRP,18177,1,18177
GRP,47169,1,47169
GRP,19123,1,19123
GRP,6017,1,06017
GRP,6017,1,06017
GRP,6017,1,06017
LFL,51660,1,51660
GRP,18049,1,18049
FBT,6053,1,06053
GRP,6053,1,06053
GRP,6053,1,06053
GRP,6053,1,06053
LFL,6053,1,06053
GRP,6053,1,06053
FBT,6053,1,06053
GRP,6053,1,06053
FBT,6053,1,06053
GRP,26057,1,26057
GRP,20133,1,20133
GRP,26067,1,26067
GRP,26077,1,26077
FBT,26077,1,26077
GRP,26077,1,26077
LFL,26077,1,26077
FBT,26105,1,26105
GRP,26107,1,26107
GRP,26107,1,26107
FBT,26107,1,26107
GRP,26121,1,26121
GRP,26121,1,26121
GRP,26121,1,26121
FBT,26121,1,26121
