event,location,zipcode,x,y,flag,_Y,_X,_ID,dup
#ACTION,Portland OR,97214,45.5142,-122.6364,,45.5142,-122.6364,2040,0
#AGAINSTHATE,Stanford CA,94305,37.4236,-122.1619,,37.4236,-122.1619,2408,0
#BUFFALORESISTS,Getzville NY,14068,43.024,-78.75320000000001,,43.024,-78.75320000000001,2676,0
#CITIZEN,Burke VA,22015,38.7894,-77.2818,,38.7894,-77.2818,2962,0
#DEMFORCE,Camp Hill PA,17011,40.2352,-76.92910000000001,,40.2352,-76.92910000000001,1994,0
#GA12 INDIVISIBLE,SWAINSBORO GA,30401,32.5699,-82.3462,,32.5699,-82.3462,998,0
#GET2WORK LONG ISLAND,Huntington Station NY,11746,40.8143,-73.3634,,40.8143,-73.3634,1413,0
#INDIVISIBLE CD-16 FL,Longboat Key FL,34228,27.4125,-82.65900000000001,,27.4125,-82.65900000000001,2472,0
#KEEPAMERICACOVERED,San Francisco CA,94134,37.719,-122.4096,,37.719,-122.4096,2130,0
#PALOALTOLOVEARMY,Palo Alto CA,94301,37.4443,-122.1497,,37.4443,-122.1497,2408,0
#RESIST HOBOKEN,Hoboken NJ,07030,40.7445,-74.0329,,40.7445,-74.0329,2277,0
#RESIST MONROVIA,Monrovia CA,91016,34.144,-118.0014,,34.144,-118.0014,3006,0
#RESIST: ARLINGTON HEIGHTS,Palatine IL,60074,42.1458,-88.023,,42.1458,-88.023,2103,0
#RESIST:POTTSTOWN,Pottstown PA,19464,40.2635,-75.6172,,40.2635,-75.6172,3054,0
#RESISTFORGOOD INDIVISIBLE NCENTRALWA/OKANOGANCOUNTY/ONLINE,Okanogan WA,98840,48.3513,-119.6046,,48.3513,-119.6046,866,0
#ROSWELLRESISTANCE,Marietta GA,30068,33.9679,-84.4385,,33.9679,-84.4385,2920,0
#STANDTOGETHERJXN,Brandon MS,39042,32.3038,-89.964,,32.3038,-89.964,1520,0
#STRONGERTOGETHERATX,Austin TX,78702,30.2638,-97.7166,,30.2638,-97.7166,1531,0
'@LANC4BERNIE,Lancaster PA,17602,40.0335,-76.28440000000001,,40.0335,-76.28440000000001,728,0
(LIBERTY TREE NTX) INDIVISIBLE TX-32,Dallas TX,75230,32.8999,-96.7897,,32.8999,-96.7897,2220,0
100 DAYS OF ACTION,Portland OR,97201,45.5078,-122.6897,,45.5078,-122.6897,2040,0
100 DAYS OF RESISTANCE-SEATTLE,Auburn WA,98092,47.2884,-122.098,,47.2884,-122.098,482,0
100 THOUSAND POETS FOR CHANGE,Tallahassee FL,32303,30.4874,-84.3189,,30.4874,-84.3189,2673,0
100+ DAYS OF ACTION / ATHENS,Athens GA,30605,33.9321,-83.35250000000001,,33.9321,-83.35250000000001,115,0
11TH WARD INDIVISIBLE,Pittsburgh PA,15206,40.4723,-79.9132,,40.4723,-79.9132,817,0
1460 DAYS OF ACTION,New York NY,10011,40.7402,-73.9996,,40.7402,-73.9996,940,0
19TH DISTRICT PROGRESSIVE AGENDA,Yonkers NY,10704,40.9176,-73.8593,,40.9176,-73.8593,1740,0
2 RIVERS RESISTANCE,Easton PA,18040,40.7449,-75.2217,,40.7449,-75.2217,1229,0
20/20 KZOO SQUAD,Kalamazoo MI,49008,42.2624,-85.6096,,42.2624,-85.6096,253,0
21ST CONGRESSIONAL DISTRICT CA,Del Rey CA,93616,36.6543,-119.5929,,36.6543,-119.5929,216,0
25/11 THE WAY FORWARD,Mountain Lakes NJ,07046,40.8904,-74.4415,,40.8904,-74.4415,2543,0
"25TXINDIVISIBLE WESTLAKE, LOSTCREEK, EANES, NEIGHBORHOOD",Austin TX,78746,30.2971,-97.8181,,30.2971,-97.8181,1531,0
2DEGREES,Northampton MA,01060,42.3223,-72.6313,,42.3223,-72.6313,2476,0
2ND DISTRICT DEMOCRATS,Mishawaka IN,46545,41.6835,-86.1682,,41.6835,-86.1682,2422,0
3-2-1 PROGRESS,Oakland CA,94618,37.8431,-122.2402,,37.8431,-122.2402,2716,0
30TH DISTRICT DEMOCRATS,Federal Way WA,98023,47.3104,-122.3612,,47.3104,-122.3612,482,0
34TH DISTRICT DEMOCRATS,Seattle WA,98126,47.5444,-122.3735,,47.5444,-122.3735,482,0
350 EVERETT,Everett WA,98201,47.9884,-122.2006,,47.9884,-122.2006,2461,0
"350,ORGPDX WASHINGTON COUNTY NEIGHBORHOOD EAM",Hillsboro OR,97124,45.5387,-122.9636,,45.5387,-122.9636,2836,0
4 GEN INDIVISIBLE,Studio City CA,91604,34.143,-118.3913,,34.143,-118.3913,3006,0
45TH CONGRESSIONAL DISTRICT OF CALIFORNIA CONSTITUENTS,Orange CA,92869,33.7868,-117.7934,,33.7868,-117.7934,1673,0
4HOURS4YEARS,New York NY,10003,40.7313,-73.9892,,40.7313,-73.9892,940,0
4TH AND 5TH DISTRICT MD RESISTANCE,Hyattsville MD,20785,38.9223,-76.8755,,38.9223,-76.8755,3208,0
4TH DISTRICT PROGRESSIVE ACTION,Mechanicsburg PA,17055,40.179,-77.00360000000001,,40.179,-77.00360000000001,1994,0
53RD DISTRICT BATTLEGROUP,San Diego CA,92116,32.7624,-117.1242,,32.7624,-117.1242,2558,0
5TH DISTRICT RESISTANCE,Atlanta GA,30316,33.7217,-84.3339,,33.7217,-84.3339,832,0
6/16 INDIVISIBLE BOULDER,Boulder CO,80302,40.0172,-105.2851,,40.0172,-105.2851,2049,0
7 MINUTES OF JUSTICE,Amherst MA,01002,42.3671,-72.4646,,42.3671,-72.4646,2476,0
