SUMLEV,REGION,DIVISION,STATE,COUNTY,STNAME,CTYNAME,POPESTIMATE2018
40,3,6,1,0,Alabama,Alabama,4887871
50,3,6,1,1,Alabama,Autauga County,55601
50,3,6,1,3,Alabama,Baldwin County,218022
50,3,6,1,5,Alabama,Barbour County,24881
50,3,6,1,7,Alabama,Bibb County,22400
50,3,6,1,9,Alabama,Blount County,57840
50,3,6,1,11,Alabama,Bullock County,10138
50,3,6,1,13,Alabama,Butler County,19680
50,3,6,1,15,Alabama,Calhoun County,114277
50,3,6,1,17,Alabama,Chambers County,33615
50,3,6,1,19,Alabama,Cherokee County,26032
50,3,6,1,21,Alabama,Chilton County,44153
50,3,6,1,23,Alabama,Choctaw County,12841
50,3,6,1,25,Alabama,Clarke County,23920
50,3,6,1,27,Alabama,Clay County,13275
50,3,6,1,29,Alabama,Cleburne County,14987
50,3,6,1,31,Alabama,Coffee County,51909
50,3,6,1,33,Alabama,Colbert County,54762
50,3,6,1,35,Alabama,Conecuh County,12277
50,3,6,1,37,Alabama,Coosa County,10715
50,3,6,1,39,Alabama,Covington County,36986
50,3,6,1,41,Alabama,Crenshaw County,13824
50,3,6,1,43,Alabama,Cullman County,83442
50,3,6,1,45,Alabama,Dale County,48956
50,3,6,1,47,Alabama,Dallas County,38310
50,3,6,1,49,Alabama,DeKalb County,71385
50,3,6,1,51,Alabama,Elmore County,81887
50,3,6,1,53,Alabama,Escambia County,36748
50,3,6,1,55,Alabama,Etowah County,102501
50,3,6,1,57,Alabama,Fayette County,16433
50,3,6,1,59,Alabama,Franklin County,31363
50,3,6,1,61,Alabama,Geneva County,26314
50,3,6,1,63,Alabama,Greene County,8233
50,3,6,1,65,Alabama,Hale County,14726
50,3,6,1,67,Alabama,Henry County,17209
50,3,6,1,69,Alabama,Houston County,104722
50,3,6,1,71,Alabama,Jackson County,51736
50,3,6,1,73,Alabama,Jefferson County,659300
50,3,6,1,75,Alabama,Lamar County,13844
50,3,6,1,77,Alabama,Lauderdale County,92387
50,3,6,1,79,Alabama,Lawrence County,32957
50,3,6,1,81,Alabama,Lee County,163941
50,3,6,1,83,Alabama,Limestone County,96174
50,3,6,1,85,Alabama,Lowndes County,9974
50,3,6,1,87,Alabama,Macon County,18439
50,3,6,1,89,Alabama,Madison County,366519
50,3,6,1,91,Alabama,Marengo County,19066
50,3,6,1,93,Alabama,Marion County,29763
50,3,6,1,95,Alabama,Marshall County,96109
50,3,6,1,97,Alabama,Mobile County,413757
50,3,6,1,99,Alabama,Monroe County,21067
50,3,6,1,101,Alabama,Montgomery County,225763
50,3,6,1,103,Alabama,Morgan County,119089
50,3,6,1,105,Alabama,Perry County,9140
50,3,6,1,107,Alabama,Pickens County,19938
50,3,6,1,109,Alabama,Pike County,33338
50,3,6,1,111,Alabama,Randolph County,22725
50,3,6,1,113,Alabama,Russell County,57781
50,3,6,1,115,Alabama,St. Clair County,88690
50,3,6,1,117,Alabama,Shelby County,215707
50,3,6,1,119,Alabama,Sumter County,12691
50,3,6,1,121,Alabama,Talladega County,79828
50,3,6,1,123,Alabama,Tallapoosa County,40497
50,3,6,1,125,Alabama,Tuscaloosa County,208911
50,3,6,1,127,Alabama,Walker County,63711
50,3,6,1,129,Alabama,Washington County,16378
50,3,6,1,131,Alabama,Wilcox County,10627
50,3,6,1,133,Alabama,Winston County,23660
40,4,9,2,0,Alaska,Alaska,737438
50,4,9,2,13,Alaska,Aleutians East Borough,3515
50,4,9,2,16,Alaska,Aleutians West Census Area,5723
50,4,9,2,20,Alaska,Anchorage Municipality,291538
50,4,9,2,50,Alaska,Bethel Census Area,18216
50,4,9,2,60,Alaska,Bristol Bay Borough,877
50,4,9,2,68,Alaska,Denali Borough,2059
50,4,9,2,70,Alaska,Dillingham Census Area,5000
50,4,9,2,90,Alaska,Fairbanks North Star Borough,98971
50,4,9,2,100,Alaska,Haines Borough,2474
50,4,9,2,105,Alaska,Hoonah-Angoon Census Area,2151
50,4,9,2,110,Alaska,Juneau City and Borough,32113
50,4,9,2,122,Alaska,Kenai Peninsula Borough,58533
50,4,9,2,130,Alaska,Ketchikan Gateway Borough,13918
50,4,9,2,150,Alaska,Kodiak Island Borough,13345
50,4,9,2,158,Alaska,Kusilvak Census Area,8303
50,4,9,2,164,Alaska,Lake and Peninsula Borough,1587
50,4,9,2,170,Alaska,Matanuska-Susitna Borough,107610
50,4,9,2,180,Alaska,Nome Census Area,10008
50,4,9,2,185,Alaska,North Slope Borough,9872
50,4,9,2,188,Alaska,Northwest Arctic Borough,7671
50,4,9,2,195,Alaska,Petersburg Borough,3221
50,4,9,2,198,Alaska,Prince of Wales-Hyder Census Area,6422
50,4,9,2,220,Alaska,Sitka City and Borough,8647
50,4,9,2,230,Alaska,Skagway Municipality,1148
50,4,9,2,240,Alaska,Southeast Fairbanks Census Area,6918
50,4,9,2,261,Alaska,Valdez-Cordova Census Area,9164
50,4,9,2,275,Alaska,Wrangell City and Borough,2503
50,4,9,2,282,Alaska,Yakutat City and Borough,604
50,4,9,2,290,Alaska,Yukon-Koyukuk Census Area,5327
40,4,8,4,0,Arizona,Arizona,7171646
50,4,8,4,1,Arizona,Apache County,71818
50,4,8,4,3,Arizona,Cochise County,126770
50,4,8,4,5,Arizona,Coconino County,142854
50,4,8,4,7,Arizona,Gila County,53889
50,4,8,4,9,Arizona,Graham County,38072
50,4,8,4,11,Arizona,Greenlee County,9483
50,4,8,4,12,Arizona,La Paz County,21098
50,4,8,4,13,Arizona,Maricopa County,4410824
50,4,8,4,15,Arizona,Mohave County,209550
50,4,8,4,17,Arizona,Navajo County,110445
50,4,8,4,19,Arizona,Pima County,1039073
50,4,8,4,21,Arizona,Pinal County,447138
50,4,8,4,23,Arizona,Santa Cruz County,46511
50,4,8,4,25,Arizona,Yavapai County,231993
50,4,8,4,27,Arizona,Yuma County,212128
40,3,7,5,0,Arkansas,Arkansas,3013825
50,3,7,5,1,Arkansas,Arkansas County,17769
50,3,7,5,3,Arkansas,Ashley County,20046
50,3,7,5,5,Arkansas,Baxter County,41619
50,3,7,5,7,Arkansas,Benton County,272608
50,3,7,5,9,Arkansas,Boone County,37480
50,3,7,5,11,Arkansas,Bradley County,10897
50,3,7,5,13,Arkansas,Calhoun County,5277
50,3,7,5,15,Arkansas,Carroll County,28223
50,3,7,5,17,Arkansas,Chicot County,10438
50,3,7,5,19,Arkansas,Clark County,22061
50,3,7,5,21,Arkansas,Clay County,14847
50,3,7,5,23,Arkansas,Cleburne County,24965
50,3,7,5,25,Arkansas,Cleveland County,8018
50,3,7,5,27,Arkansas,Columbia County,23537
50,3,7,5,29,Arkansas,Conway County,20891
50,3,7,5,31,Arkansas,Craighead County,108558
50,3,7,5,33,Arkansas,Crawford County,63406
50,3,7,5,35,Arkansas,Crittenden County,48342
50,3,7,5,37,Arkansas,Cross County,16676
50,3,7,5,39,Arkansas,Dallas County,7182
50,3,7,5,41,Arkansas,Desha County,11512
50,3,7,5,43,Arkansas,Drew County,18328
50,3,7,5,45,Arkansas,Faulkner County,124806
50,3,7,5,47,Arkansas,Franklin County,17810
50,3,7,5,49,Arkansas,Fulton County,12269
50,3,7,5,51,Arkansas,Garland County,99154
50,3,7,5,53,Arkansas,Grant County,18188
50,3,7,5,55,Arkansas,Greene County,45325
50,3,7,5,57,Arkansas,Hempstead County,21741
50,3,7,5,59,Arkansas,Hot Spring County,33701
50,3,7,5,61,Arkansas,Howard County,13341
50,3,7,5,63,Arkansas,Independence County,37678
50,3,7,5,65,Arkansas,Izard County,13593
50,3,7,5,67,Arkansas,Jackson County,16811
50,3,7,5,69,Arkansas,Jefferson County,68114
50,3,7,5,71,Arkansas,Johnson County,26742
50,3,7,5,73,Arkansas,Lafayette County,6682
50,3,7,5,75,Arkansas,Lawrence County,16434
50,3,7,5,77,Arkansas,Lee County,8985
50,3,7,5,79,Arkansas,Lincoln County,13383
50,3,7,5,81,Arkansas,Little River County,12326
50,3,7,5,83,Arkansas,Logan County,21737
50,3,7,5,85,Arkansas,Lonoke County,73657
50,3,7,5,87,Arkansas,Madison County,16481
50,3,7,5,89,Arkansas,Marion County,16722
50,3,7,5,91,Arkansas,Miller County,43592
50,3,7,5,93,Arkansas,Mississippi County,41239
50,3,7,5,95,Arkansas,Monroe County,6900
50,3,7,5,97,Arkansas,Montgomery County,8924
50,3,7,5,99,Arkansas,Nevada County,8326
50,3,7,5,101,Arkansas,Newton County,7805
50,3,7,5,103,Arkansas,Ouachita County,23606
50,3,7,5,105,Arkansas,Perry County,10352
50,3,7,5,107,Arkansas,Phillips County,18029
50,3,7,5,109,Arkansas,Pike County,10673
50,3,7,5,111,Arkansas,Poinsett County,23974
50,3,7,5,113,Arkansas,Polk County,20049
50,3,7,5,115,Arkansas,Pope County,64000
50,3,7,5,117,Arkansas,Prairie County,8074
50,3,7,5,119,Arkansas,Pulaski County,392680
50,3,7,5,121,Arkansas,Randolph County,17948
50,3,7,5,123,Arkansas,St. Francis County,25439
50,3,7,5,125,Arkansas,Saline County,121421
50,3,7,5,127,Arkansas,Scott County,10319
50,3,7,5,129,Arkansas,Searcy County,7958
50,3,7,5,131,Arkansas,Sebastian County,127753
50,3,7,5,133,Arkansas,Sevier County,17139
50,3,7,5,135,Arkansas,Sharp County,17366
50,3,7,5,137,Arkansas,Stone County,12457
50,3,7,5,139,Arkansas,Union County,39126
50,3,7,5,141,Arkansas,Van Buren County,16603
50,3,7,5,143,Arkansas,Washington County,236961
50,3,7,5,145,Arkansas,White County,78727
50,3,7,5,147,Arkansas,Woodruff County,6490
50,3,7,5,149,Arkansas,Yell County,21535
40,4,9,6,0,California,California,39557045
50,4,9,6,1,California,Alameda County,1666753
50,4,9,6,3,California,Alpine County,1101
50,4,9,6,5,California,Amador County,39383
50,4,9,6,7,California,Butte County,231256
50,4,9,6,9,California,Calaveras County,45602
50,4,9,6,11,California,Colusa County,21627
50,4,9,6,13,California,Contra Costa County,1150215
50,4,9,6,15,California,Del Norte County,27828
50,4,9,6,17,California,El Dorado County,190678
50,4,9,6,19,California,Fresno County,994400
50,4,9,6,21,California,Glenn County,28047
50,4,9,6,23,California,Humboldt County,136373
50,4,9,6,25,California,Imperial County,181827
50,4,9,6,27,California,Inyo County,17987
50,4,9,6,29,California,Kern County,896764
50,4,9,6,31,California,Kings County,151366
50,4,9,6,33,California,Lake County,64382
50,4,9,6,35,California,Lassen County,30802
50,4,9,6,37,California,Los Angeles County,10105518
50,4,9,6,39,California,Madera County,157672
50,4,9,6,41,California,Marin County,259666
50,4,9,6,43,California,Mariposa County,17471
50,4,9,6,45,California,Mendocino County,87606
50,4,9,6,47,California,Merced County,274765
50,4,9,6,49,California,Modoc County,8777
50,4,9,6,51,California,Mono County,14250
50,4,9,6,53,California,Monterey County,435594
50,4,9,6,55,California,Napa County,139417
50,4,9,6,57,California,Nevada County,99696
50,4,9,6,59,California,Orange County,3185968
50,4,9,6,61,California,Placer County,393149
50,4,9,6,63,California,Plumas County,18804
50,4,9,6,65,California,Riverside County,2450758
50,4,9,6,67,California,Sacramento County,1540975
50,4,9,6,69,California,San Benito County,61537
50,4,9,6,71,California,San Bernardino County,2171603
50,4,9,6,73,California,San Diego County,3343364
50,4,9,6,75,California,San Francisco County,883305
50,4,9,6,77,California,San Joaquin County,752660
50,4,9,6,79,California,San Luis Obispo County,284010
50,4,9,6,81,California,San Mateo County,769545
50,4,9,6,83,California,Santa Barbara County,446527
50,4,9,6,85,California,Santa Clara County,1937570
50,4,9,6,87,California,Santa Cruz County,274255
50,4,9,6,89,California,Shasta County,180040
50,4,9,6,91,California,Sierra County,2987
50,4,9,6,93,California,Siskiyou County,43724
50,4,9,6,95,California,Solano County,446610
50,4,9,6,97,California,Sonoma County,499942
50,4,9,6,99,California,Stanislaus County,549815
50,4,9,6,101,California,Sutter County,96807
50,4,9,6,103,California,Tehama County,63916
50,4,9,6,105,California,Trinity County,12535
50,4,9,6,107,California,Tulare County,465861
50,4,9,6,109,California,Tuolumne County,54539
50,4,9,6,111,California,Ventura County,850967
50,4,9,6,113,California,Yolo County,220408
50,4,9,6,115,California,Yuba County,78041
40,4,8,8,0,Colorado,Colorado,5695564
50,4,8,8,1,Colorado,Adams County,511868
50,4,8,8,3,Colorado,Alamosa County,16683
50,4,8,8,5,Colorado,Arapahoe County,651215
50,4,8,8,7,Colorado,Archuleta County,13765
50,4,8,8,9,Colorado,Baca County,3585
50,4,8,8,11,Colorado,Bent County,5882
50,4,8,8,13,Colorado,Boulder County,326078
50,4,8,8,14,Colorado,Broomfield County,69267
50,4,8,8,15,Colorado,Chaffee County,20027
50,4,8,8,17,Colorado,Cheyenne County,1876
50,4,8,8,19,Colorado,Clear Creek County,9605
50,4,8,8,21,Colorado,Conejos County,8200
50,4,8,8,23,Colorado,Costilla County,3828
50,4,8,8,25,Colorado,Crowley County,5858
50,4,8,8,27,Colorado,Custer County,4954
50,4,8,8,29,Colorado,Delta County,30953
50,4,8,8,31,Colorado,Denver County,716492
50,4,8,8,33,Colorado,Dolores County,2074
50,4,8,8,35,Colorado,Douglas County,342776
50,4,8,8,37,Colorado,Eagle County,54993
50,4,8,8,39,Colorado,Elbert County,26282
50,4,8,8,41,Colorado,El Paso County,713856
50,4,8,8,43,Colorado,Fremont County,48021
50,4,8,8,45,Colorado,Garfield County,59770
50,4,8,8,47,Colorado,Gilpin County,6121
50,4,8,8,49,Colorado,Grand County,15525
50,4,8,8,51,Colorado,Gunnison County,17246
50,4,8,8,53,Colorado,Hinsdale County,811
50,4,8,8,55,Colorado,Huerfano County,6889
50,4,8,8,57,Colorado,Jackson County,1399
50,4,8,8,59,Colorado,Jefferson County,580233
50,4,8,8,61,Colorado,Kiowa County,1383
50,4,8,8,63,Colorado,Kit Carson County,7163
50,4,8,8,65,Colorado,Lake County,7824
50,4,8,8,67,Colorado,La Plata County,56310
50,4,8,8,69,Colorado,Larimer County,350518
50,4,8,8,71,Colorado,Las Animas County,14503
50,4,8,8,73,Colorado,Lincoln County,5610
50,4,8,8,75,Colorado,Logan County,21528
50,4,8,8,77,Colorado,Mesa County,153207
50,4,8,8,79,Colorado,Mineral County,776
50,4,8,8,81,Colorado,Moffat County,13188
50,4,8,8,83,Colorado,Montezuma County,26158
50,4,8,8,85,Colorado,Montrose County,42214
50,4,8,8,87,Colorado,Morgan County,28558
50,4,8,8,89,Colorado,Otero County,18432
50,4,8,8,91,Colorado,Ouray County,4833
50,4,8,8,93,Colorado,Park County,18556
